replicate,method,canonical_accuracy,canonical_macro_f1,canonical_log_loss,canonical_ece
6,Operator-aware logistic EM,0.53675,0.5162141098918174,0.9916859462669122,0.0266284295885151
6,Independent-threshold logistic,0.536,0.5207703201582046,0.9941148997795726,0.0272492562904113
7,PLA-BN (TAN),0.53075,0.5082721013504008,1.0033234813627818,0.0227979048763589
7,PLA-BN (Naive Bayes),0.441,0.4130356648648821,2.840058350148781,0.29520330449219
7,Representative-label TAN,0.3755,0.3230119953810715,1.220731578573257,0.1983996661917714
7,Oracle-label TAN,0.5365,0.5137877682377903,0.9912878971287926,0.0097371602901855
7,Operator-aware logistic EM,0.5345,0.5057926470908631,0.9965906331882052,0.0229694812371944
7,Independent-threshold logistic,0.53325,0.5131703480794949,0.9993690888673872,0.0263993045971701
8,PLA-BN (TAN),0.53575,0.5124645238883638,1.0041077750573462,0.0286730699552581
8,PLA-BN (Naive Bayes),0.4185,0.3914084403577678,3.142326709166372,0.3104780549571747
8,Representative-label TAN,0.372,0.3041456056486535,1.2077548407319647,0.1886274501929548
8,Oracle-label TAN,0.544,0.5239844752919094,0.9961491332432554,0.011432206329767
8,Operator-aware logistic EM,0.5405,0.5198679609403727,1.000785689881689,0.0231048523845619
8,Independent-threshold logistic,0.544,0.5275217065394017,1.0020923643863855,0.0226187032397626
9,PLA-BN (TAN),0.5355,0.5194205775543135,0.9822589538327604,0.0231401013743279
9,PLA-BN (Naive Bayes),0.46625,0.4534972767793703,2.281530346323541,0.2694132782424479
9,Representative-label TAN,0.39175,0.3429226390003993,1.1870983305577765,0.1719994154556971
9,Oracle-label TAN,0.5465,0.5318827062401132,0.9742918695002049,0.0214214696744004
9,Operator-aware logistic EM,0.53675,0.5140472974126957,0.979338083107217,0.0151275733902619
9,Independent-threshold logistic,0.54275,0.5316545598085458,0.9807080985650608,0.0215365019880971
10,PLA-BN (TAN),0.5155,0.4931851508587378,1.0178092283934397,0.0444195786170202
10,PLA-BN (Naive Bayes),0.4375,0.4202933920973716,2.3524416024033723,0.3036536002216801
10,Representative-label TAN,0.38425,0.3317220578368413,1.212403940276874,0.1843884144311968
10,Oracle-label TAN,0.51925,0.4959715713946189,1.003428279632566,0.0375613624296814
10,Operator-aware logistic EM,0.528,0.4985708456310775,1.0006004745912895,0.0293291854803264
10,Independent-threshold logistic,0.529,0.5029786258719019,1.0045238812069592,0.034034078751566
11,PLA-BN (TAN),0.54875,0.5375612050209742,0.9864099607227664,0.0097670786092996
11,PLA-BN (Naive Bayes),0.44425,0.4249232046190082,2.3159144677532333,0.2681620531811539
11,Representative-label TAN,0.389,0.3452442464891363,1.2258376710214764,0.1840424925870034
11,Oracle-label TAN,0.54725,0.5315061978263687,0.9857242821264172,0.0179781633411506
11,Operator-aware logistic EM,0.5375,0.5235365087166227,0.9883103958708914,0.0128968800386221
11,Independent-threshold logistic,0.53525,0.5287804419563485,0.9900534729160844,0.0166406174805719
12,PLA-BN (TAN),0.521,0.5094823607053227,1.0091223744252722,0.0229586485630678
12,PLA-BN (Naive Bayes),0.44275,0.4348896229583399,2.3412935954571625,0.2898163963554169
12,Representative-label TAN,0.37525,0.3137618127737478,1.2225145427638344,0.1925638835326149
12,Oracle-label TAN,0.52875,0.5135614319668342,0.998914966721979,0.0153412020786068
12,Operator-aware logistic EM,0.528,0.5174972687217321,0.9980567560688433,0.0133086354452455
12,Independent-threshold logistic,0.5235,0.5147547591677794,1.0025877359989233,0.0165770429031708
13,PLA-BN (TAN),0.5275,0.4972815658892352,1.0026146975951045,0.0237900938857956
13,PLA-BN (Naive Bayes),0.42925,0.3983897738190169,2.912050155306635,0.3047342218286729
13,Representative-label TAN,0.3745,0.3102425062996395,1.2033566398703028,0.1963469470525287
13,Oracle-label TAN,0.5385,0.5124566656823482,0.9870660115670508,0.0137626965375936
13,Operator-aware logistic EM,0.5285,0.5000272514007889,0.993338580336794,0.0221669113734639
13,Independent-threshold logistic,0.535,0.5108430639440483,0.9960719938021336,0.0144829221733067
14,PLA-BN (TAN),0.51725,0.4950806759165012,1.0038619632070536,0.0330471788027346
14,PLA-BN (Naive Bayes),0.453,0.4395779501966989,2.28829212679117,0.2932171671230543
14,Representative-label TAN,0.3755,0.3102333559601742,1.2101095274661544,0.1908994648340971
14,Oracle-label TAN,0.52275,0.5031262815509014,0.9985847820178538,0.0198375527500744
14,Operator-aware logistic EM,0.52875,0.5041330474618667,0.9992863919607666,0.0233639432400163
14,Independent-threshold logistic,0.53,0.5160153427529416,1.0049617349671134,0.0286913960197775
15,PLA-BN (TAN),0.526,0.5102578682279783,0.9972618236257028,0.0337006584708865
15,PLA-BN (Naive Bayes),0.42775,0.4129477066215615,2.1356119629749384,0.3117253865304827
15,Representative-label TAN,0.382,0.3382915352302726,1.214821882551168,0.2005827039218078
15,Oracle-label TAN,0.52475,0.508922742828839,0.9878018117411872,0.0244779896087697
15,Operator-aware logistic EM,0.52275,0.508272456668906,0.993509753082754,0.0235850667586042
15,Independent-threshold logistic,0.52825,0.5130987637287701,0.9977836395544152,0.0305782395611146
16,PLA-BN (TAN),0.52225,0.5009296448210472,1.0076029627002203,0.0459749415682971
16,PLA-BN (Naive Bayes),0.4565,0.4429219974736088,2.355100468622028,0.2828993837698765
16,Representative-label TAN,0.3705,0.3022186831395195,1.2073106889607863,0.1915118746832909
16,Oracle-label TAN,0.527,0.5076333392961125,0.9900789922828,0.0142238322451802
16,Operator-aware logistic EM,0.516,0.4986262640103521,0.9993729567797976,0.0249590773385016
16,Independent-threshold logistic,0.51775,0.4982011584174887,1.0040795865582417,0.0357461190465925
17,PLA-BN (TAN),0.52875,0.511517264122568,1.0031685009346405,0.033227669379541
17,PLA-BN (Naive Bayes),0.4515,0.4371787566171057,2.2017931600332368,0.2987173936320492
17,Representative-label TAN,0.3705,0.316635803216193,1.2314341101328632,0.1962582277268721
17,Oracle-label TAN,0.53175,0.5149110025833474,0.9950166699883702,0.0178817696423864
17,Operator-aware logistic EM,0.53375,0.5127017583146988,0.9988710676052326,0.0259882134330863
17,Independent-threshold logistic,0.53275,0.5154248569271679,1.0026218657691863,0.037084256105845
18,PLA-BN (TAN),0.51625,0.4889195219188615,0.9976295246831296,0.0339727519396313
18,PLA-BN (Naive Bayes),0.433,0.4214948763076055,2.315357953981398,0.2978341779010196
18,Representative-label TAN,0.3795,0.3254193661478375,1.1985632249968567,0.1961254654113895
18,Oracle-label TAN,0.5245,0.5029596921815699,0.9904639788882368,0.0199437321831336
18,Operator-aware logistic EM,0.516,0.4822399876893359,0.9953600485201096,0.0408893634064423
18,Independent-threshold logistic,0.51625,0.4855932375318001,1.00235510829128,0.0341975165606534
19,PLA-BN (TAN),0.52475,0.5120320459464075,1.014363850329822,0.035826177484146
19,PLA-BN (Naive Bayes),0.45925,0.447721537508325,2.160860666691556,0.2778821523370235
19,Representative-label TAN,0.381,0.3164558963068182,1.2332559444833189,0.1940869035801736
19,Oracle-label TAN,0.526,0.5064273824514731,0.9993133432638284,0.0220498283522409
19,Operator-aware logistic EM,0.52175,0.5107169157750817,1.0098527994874464,0.0364229829070711
