repeat,fold,split_id,evaluation,method,accuracy,balanced_accuracy,macro_f1,log_loss,brier
2,3,R2F3,canonical_max_severity,Operator-aware logistic EM,0.6073619631901841,0.4342965957944019,0.4254809877291319,0.8348056091815399,0.5081486459774955
2,3,R2F3,transport_HbA1c,Operator-aware logistic EM,0.6717791411042945,0.35480422698674485,0.31319776714513553,0.6622557251677108,0.4109518445534545
2,3,R2F3,transport_FPG,Operator-aware logistic EM,0.6165644171779141,0.4328820116054159,0.4202579752352036,0.7866515624264906,0.4943325512686999
2,3,R2F3,transport_OGTT,Operator-aware logistic EM,0.7822085889570553,0.3333333333333333,0.29259896729776247,0.6308586792140951,0.3409279829086751
2,3,R2F3,canonical_max_severity,Oracle-label logistic,0.6104294478527608,0.4116141470549129,0.3920941256136787,0.8209040413403785,0.4983422969956794
2,3,R2F3,transport_HbA1c,Oracle-label logistic,0.6625766871165644,0.3467106468755727,0.2998652291105121,0.6676503217303542,0.4139452660911553
2,3,R2F3,transport_FPG,Oracle-label logistic,0.6073619631901841,0.42372662798194716,0.40978979737983917,0.7883006502537675,0.49808502382891107
2,3,R2F3,transport_OGTT,Oracle-label logistic,0.7822085889570553,0.3333333333333333,0.29259896729776247,0.6375894838841155,0.3444502910439363
2,4,R2F4,canonical_max_severity,GALIATSATOS/PLA-BN TAN,0.6042944785276073,0.4519930054433445,0.4478738727668667,1.2292886040751083,0.6005553948217083
2,4,R2F4,transport_HbA1c,GALIATSATOS/PLA-BN TAN,0.6441717791411042,0.3333333333333333,0.2611940298507463,0.71218214819432,0.4276379065446837
2,4,R2F4,transport_FPG,GALIATSATOS/PLA-BN TAN,0.5766871165644172,0.40640589569160995,0.3994356612307565,0.9177083615658584,0.5462723337480445
2,4,R2F4,transport_OGTT,GALIATSATOS/PLA-BN TAN,0.7300613496932515,0.3541954817888428,0.3231216457960644,0.7750317201672203,0.4088042761036727
2,4,R2F4,canonical_max_severity,Operator-aware logistic EM,0.647239263803681,0.4557904533971546,0.43772506747077583,0.851468698864592,0.5107465375307777
2,4,R2F4,transport_HbA1c,Operator-aware logistic EM,0.6441717791411042,0.3333333333333333,0.2611940298507463,0.6714263137633616,0.4186877201588596
2,4,R2F4,transport_FPG,Operator-aware logistic EM,0.588957055214724,0.4140022675736961,0.40080613314814056,0.8164976598239109,0.5123755648018207
2,4,R2F4,transport_OGTT,Operator-aware logistic EM,0.7392638036809815,0.3333333333333333,0.28336272780717225,0.6729814781958535,0.3796035711528651
2,4,R2F4,canonical_max_severity,Oracle-label logistic,0.6441717791411042,0.45023932987634624,0.43241600486256065,0.8116281777796642,0.48958232656152517
2,4,R2F4,transport_HbA1c,Oracle-label logistic,0.6441717791411042,0.3333333333333333,0.2611940298507463,0.6856156745040946,0.4254661146631752
2,4,R2F4,transport_FPG,Oracle-label logistic,0.588957055214724,0.4149234693877551,0.4024888709024686,0.798771751144189,0.49645395800876924
2,4,R2F4,transport_OGTT,Oracle-label logistic,0.7392638036809815,0.3333333333333333,0.28336272780717225,0.67660067145332,0.3802242661644084
2,5,R2F5,canonical_max_severity,GALIATSATOS/PLA-BN TAN,0.5153374233128835,0.3712232012989891,0.36504903639985287,1.154544153139108,0.6549418334567502
2,5,R2F5,transport_HbA1c,GALIATSATOS/PLA-BN TAN,0.6809815950920245,0.3660187119629394,0.3449612403100775,0.7258873669390499,0.4489922379213881
2,5,R2F5,transport_FPG,GALIATSATOS/PLA-BN TAN,0.5398773006134969,0.3733808977789103,0.3637765256636672,0.9202362811712766,0.5737708395733183
