repeat,fold,split_id,evaluation,method,accuracy,balanced_accuracy,macro_f1,log_loss,brier
1,3,R1F3,transport_ACC_AHA_130_80,Operator-aware logistic EM,0.6596806387225549,0.6341542288557214,0.6361132677088626,0.589214817286441,0.4068685374779233
1,3,R1F3,transport_ESC_140_90,Operator-aware logistic EM,0.810379241516966,0.5511698060037019,0.55031179138322,0.4394498803836296,0.2817643550383003
1,3,R1F3,canonical_bp_severity,Oracle-label logistic,0.6077844311377245,0.409401845011335,0.3755507933628868,0.8617850557669461,0.5046782723292723
1,3,R1F3,transport_ACC_AHA_130_80,Oracle-label logistic,0.6626746506986028,0.6341915422885572,0.6362640478399835,0.5903497005025181,0.4073206325565423
1,3,R1F3,transport_ESC_140_90,Oracle-label logistic,0.8053892215568862,0.5322985583173752,0.5193062303954733,0.4327791560990717,0.2808204857745842
1,4,R1F4,canonical_bp_severity,GALIATSATOS/PLA-BN TAN,0.5708582834331337,0.4205369759773905,0.4250674075170368,0.9658569657261022,0.548789554050132
1,4,R1F4,transport_ACC_AHA_130_80,GALIATSATOS/PLA-BN TAN,0.6397205588822356,0.6334950248756219,0.6306528276263459,0.6290132294973464,0.4387844258004101
1,4,R1F4,transport_ESC_140_90,GALIATSATOS/PLA-BN TAN,0.8003992015968064,0.5509072160986825,0.55216676201373,0.4623495162934155,0.2952439160776359
1,4,R1F4,canonical_bp_severity,Operator-aware logistic EM,0.6067864271457086,0.4161032605851258,0.408122659556596,0.8776572313160925,0.5110817397338246
1,4,R1F4,transport_ACC_AHA_130_80,Operator-aware logistic EM,0.6646706586826348,0.6452985074626865,0.6466973370495988,0.5964905595287443,0.4114176185906823
1,4,R1F4,transport_ESC_140_90,Operator-aware logistic EM,0.811377245508982,0.5261437071289956,0.5035742090735367,0.4313902355850381,0.275611641454815
1,4,R1F4,canonical_bp_severity,Oracle-label logistic,0.6137724550898204,0.4115636181834709,0.3785794678888874,0.8614576760806725,0.5046006632157187
1,4,R1F4,transport_ACC_AHA_130_80,Oracle-label logistic,0.6696606786427146,0.6457711442786069,0.647918318731469,0.5952951862874567,0.4106337250890202
1,4,R1F4,transport_ESC_140_90,Oracle-label logistic,0.8053892215568862,0.5224354252995767,0.5001726718084494,0.4263333131250844,0.2739679172622555
1,5,R1F5,canonical_bp_severity,GALIATSATOS/PLA-BN TAN,0.5768463073852296,0.4020073244030157,0.4005725652232795,0.9554515432154534,0.5436368879100876
1,5,R1F5,transport_ACC_AHA_130_80,GALIATSATOS/PLA-BN TAN,0.6217564870259481,0.6033084577114427,0.6038554820134879,0.6397992785470662,0.4454603848449712
1,5,R1F5,transport_ESC_140_90,GALIATSATOS/PLA-BN TAN,0.7944111776447106,0.5412810544585844,0.5387317648741419,0.454901195280203,0.2899333374621313
1,5,R1F5,canonical_bp_severity,Operator-aware logistic EM,0.5768463073852296,0.3777058283957657,0.3619275297243977,0.9062797507356868,0.5322589703430088
1,5,R1F5,transport_ACC_AHA_130_80,Operator-aware logistic EM,0.6287425149700598,0.5980597014925373,0.5987374694271246,0.6254705386504581,0.439399826009406
1,5,R1F5,transport_ESC_140_90,Operator-aware logistic EM,0.8003992015968064,0.5114546840274886,0.4811086254039274,0.4313710366855056,0.2789788237059713
